ts_ms,node,src,from,hop,rssi,snr,decision,flags
3932,117,108,116,1,-96,0,1,40
29875,117,116,116,0,-95,0,4,0
31172,117,108,108,0,-47,0,4,0
34298,117,108,116,1,-96,0,5,40
43016,117,118,116,1,-96,0,1,40
61542,117,108,108,0,-47,0,4,0
64666,117,108,116,1,-96,0,5,40
91897,117,108,108,0,-47,0,4,0
95022,117,108,116,1,-96,0,5,40
122267,117,108,108,0,-47,0,4,0
125384,117,108,116,1,-89,0,5,40
149884,117,116,116,0,-95,0,1,0
152625,117,108,108,0,-47,0,4,0
155753,117,108,116,1,-96,0,5,40
163018,117,118,116,1,-95,0,1,40
182992,117,108,108,0,-47,0,4,0
186113,117,108,116,1,-96,0,5,40
213366,117,108,108,0,-47,0,4,0
216477,117,108,116,1,-96,0,5,40
243726,117,108,108,0,-47,0,4,0
246853,117,108,116,1,-95,0,5,40
269895,117,116,116,0,-96,0,1,0
274089,117,108,108,0,-47,0,4,0
277217,117,108,116,1,-96,0,5,40
283007,117,118,116,1,-96,0,1,40
304452,117,108,108,0,-47,0,4,0
307570,117,108,116,1,-96,0,5,40
334817,117,108,108,0,-46,0,4,0
337939,117,108,116,1,-96,0,5,40
365202,117,108,108,0,-46,0,4,0
368300,117,108,116,1,-96,0,5,40
389904,117,116,116,0,-96,0,1,0
395541,117,108,108,0,-47,0,4,0
398674,117,108,116,1,-96,0,5,40
403018,117,118,116,1,-96,0,1,40
425922,117,108,108,0,-46,0,4,0
429040,117,108,116,1,-96,0,5,40
456275,117,108,108,0,-46,0,4,0
459401,117,108,116,1,-95,0,5,40
486648,117,108,108,0,-46,0,4,0
489775,117,108,116,1,-95,0,5,40
509908,117,116,116,0,-95,0,1,0
517007,117,108,108,0,-46,0,4,0
520146,117,108,116,1,-95,0,5,40
523044,117,118,116,1,-96,0,1,40
547372,117,108,108,0,-46,0,4,0
550500,117,108,116,1,-95,0,5,40
577749,117,108,108,0,-46,0,4,0
580871,117,108,116,1,-96,0,5,40
608116,117,108,108,0,-46,0,4,0
611241,117,108,116,1,-96,0,5,40
629916,117,116,116,0,-95,0,1,0
638474,117,108,108,0,-45,0,4,0
641607,117,108,116,1,-95,0,5,40
643064,117,118,116,1,-96,0,1,40
653830,117,0,0,0,-103,0,8,10
668837,117,108,108,0,-46,0,4,0
671968,117,108,116,1,-96,0,5,40
699200,117,108,108,0,-46,0,4,0
700837,117,108,116,1,-95,0,5,40
729565,117,108,108,0,-47,0,4,0
732683,117,108,116,1,-97,0,5,40
749921,117,116,116,0,-95,0,1,0
759924,117,108,108,0,-45,0,4,0
763049,117,108,116,1,-97,0,5,40
790294,117,108,108,0,-46,0,4,0
793410,117,108,116,1,-95,0,5,40
820660,117,108,108,0,-46,0,4,0
823773,117,108,116,1,-95,0,5,40
851022,117,108,108,0,-48,0,4,0
852213,117,0,0,0,-102,0,8,10
854154,117,108,116,1,-95,0,5,40
869923,117,116,116,0,-95,0,1,0
881410,117,108,108,0,-47,0,4,0
883066,117,118,116,1,-96,0,1,40
884510,117,108,116,1,-96,0,5,40
911747,117,108,108,0,-48,0,4,0
914873,117,108,116,1,-95,0,5,40
942109,117,108,108,0,-48,0,4,0
945243,117,108,116,1,-96,0,5,40
972464,117,108,108,0,-47,0,4,0
975589,117,108,116,1,-95,0,5,40
989940,117,116,116,0,-95,0,1,0
1002828,117,108,108,0,-47,0,4,0
1003077,117,118,116,1,-95,0,1,40
1005956,117,108,116,1,-95,0,5,40
